signal_id,datetime,vt_symbol,direction,action,price,close_1m,donchian_high,donchian_low,breakout_distance,breakout_distance_atr,atr_1m,atr_pct,rsi,fast_ema_5m,slow_ema_5m,ema_spread,ema_spread_pct,regime,regime_persistence_count,hour,weekday,is_weekend,filter_reject_reason,position_before,volume,stop_price,take_profit_price,trail_stop_price,future_return_5m,mfe_5m,mae_5m,future_return_15m,mfe_15m,mae_15m,future_return_30m,mfe_30m,mae_30m,future_return_60m,mfe_60m,mae_60m,future_return_120m,mfe_120m,mae_120m,mfe_atr,mae_atr,hit_take_profit_before_stop,hit_stop_before_take_profit,max_favorable_time,max_adverse_time,breakout_distance_bucket
OkxAdaptiveMhfStrategy-20250101171200-000001,2025-01-01T17:13:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,93254.0,93254.2,93544.1,93352.8,98.60000000000582,1.826723885531708,53.97641142208317,0.0005788094415273,31.136288081695767,93478.30488887103,93618.27655916444,-139.9716702933947,-0.0015009690747804,short,7,17,2,False,,0.0,3.57,93393.8813,93124.456612587,93351.15754055975,0.0004031998627405347,0.0005790636326591889,0.0030829776738799408,0.0023044587899714135,0.004901666416454048,0.0030829776738799408,0.0014294293006198438,0.005893580972398029,0.0030829776738799408,-0.0012074549081005192,0.005893580972398029,0.0030829776738799408,-0.0011677783258626352,0.005893580972398029,0.003174126579020739,10.18222563375434,5.483876978877825,False,True,27.0,68.0,1-2
OkxAdaptiveMhfStrategy-20250101172300-000002,2025-01-01T17:24:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,93168.3,93165.1,93541.5,93200.0,34.89999999999418,0.4047893585076484,86.21768153357903,0.0009254289592731,36.54808020199874,93424.98042339287,93592.17447372792,-167.1940503350488,-0.0017945995907807,short,9,17,2,False,,0.0,3.57,93308.04765,92961.3775643194,93323.49182676044,0.00023183851159681802,0.0039863344077331955,0.0,0.0010829863805608638,0.0039863344077331955,0.003743762631710602,-0.002412837842914413,0.00497916136711745,0.003743762631710602,-0.0036278433759121933,0.00497916136711745,0.004096887031318561,-0.0031319665594413864,0.00497916136711745,0.004096887031318561,5.380566859935041,4.427166135885215,True,False,16.0,57.0,0.25-0.5
OkxAdaptiveMhfStrategy-20250101184000-000004,2025-01-01T18:41:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,93370.1,93360.9,93550.0,93367.9,7.0,0.1357428278803836,51.568102044907945,0.0005523522378737,40.90570793306975,93393.7757766346,93472.49514405544,-78.71936742083926,-0.0008431727566983,short,25,18,2,False,,0.0,3.57,93510.14135,93246.33655509225,93462.92258368083,-0.0005280062889510492,0.0009885391576104439,0.0006597401095210486,0.000697225343016724,0.0009885391576104439,0.0006597401095210486,0.0006019057492710368,0.0019128179149428544,0.0006597401095210486,-0.0020359836821422623,0.0019128179149428544,0.002261966089786742,-0.005547814557336877,0.0019128179149428544,0.006746271022522137,3.4633812942053304,12.214915325978982,True,False,24.0,107.0,0-0.25
OkxAdaptiveMhfStrategy-20250101190200-000005,2025-01-01T19:03:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,93238.8,93238.9,93431.7,93277.8,38.90000000000873,0.8285371358134817,46.95021902888588,0.0005035475432344,36.239250087400364,93373.47888889418,93454.5077223312,-81.02883343701251,-0.0008690453602199,short,29,19,2,False,,0.0,3.57,93378.65835,93126.11947433068,93323.310394252,-0.0013234833567140952,0.0005072995362445989,0.0013234833567140952,-0.002628733960539939,0.0005072995362445989,0.002628733960539939,-0.0021589724449478428,0.0005072995362445989,0.0030159118306970606,-0.001945541984667265,0.0005072995362445989,0.0053582843194034165,-0.0063535781241285194,0.0005072995362445989,0.00816398323444743,1.0074500391766399,16.212916909539285,False,True,2.0,85.0,0.5-1
OkxAdaptiveMhfStrategy-20250101202100-000013,2025-01-01T20:22:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,93660.0,93659.9,93642.2,93404.0,17.69999999999709,0.3005672927296456,58.88864300320891,0.000628749795838,71.95644178891543,93478.62793536008,93459.23569454745,19.392240812638192,0.0002070495570958,long,7,20,2,False,,0.0,3.55,93519.51015,93801.3327432077,93554.00044259422,0.0020499679692504804,0.00228165705744178,0.0006406149903907751,0.002044629510997224,0.0036301516122143923,0.0006406149903907751,0.0007484518471066177,0.0036301516122143923,0.0006406149903907751,-0.00022314755498605785,0.0036301516122143923,0.0006406149903907751,0.005789024129831274,0.01089472560324572,0.0006406149903907751,17.327619519851925,1.0188721787447288,True,False,118.0,1.0,0.25-0.5
OkxAdaptiveMhfStrategy-20250101210400-000015,2025-01-01T21:05:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,93910.9,93911.0,93888.8,93618.7,22.19999999999709,0.4059769169620335,54.68291194022051,0.0005822844175892,65.66836218847534,93750.20905924686,93573.80410749649,176.40495175038814,0.0018784269334837,long,16,21,2,False,,0.0,3.54,93770.0335,94042.13898865652,93812.4707585076,-0.0022457457015106256,0.0,0.0025726513109765882,-0.0022244489191349907,0.0,0.0032072954257705666,-0.00030773850532786056,2.1296782376874416e-06,0.0032072954257705666,0.005606377960385855,0.006272967248743286,0.0032072954257705666,0.003001781475845815,0.008193937019025481,0.0032072954257705666,14.072037729834491,5.508119251755826,False,True,75.0,15.0,0.25-0.5
OkxAdaptiveMhfStrategy-20250101215100-000017,2025-01-01T21:52:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,93927.1,93928.6,93926.0,93729.8,2.6000000000058208,0.053628337755766,48.481830853060046,0.0005161562170953,64.86089378438811,93780.7154609068,93634.00193852073,146.71352238606778,0.0015619685845,long,25,21,2,False,,0.0,3.54,93786.2071,94043.45639404736,93839.8327044645,0.00037901734430203067,0.0004897415123004969,0.0006611510416057328,0.003473970770948835,0.00609941113906417,0.0015703668057461583,0.0029288671746491826,0.008020049591651273,0.0015703668057461583,0.0023763109901189013,0.008020049591651273,0.0025700782841161784,0.0043714753250126024,0.008020049591651273,0.0025700782841161784,15.53777955051056,4.979184897774384,False,True,28.0,41.0,0-0.25
OkxAdaptiveMhfStrategy-20250101220300-000020,2025-01-01T22:04:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,94347.9,94347.9,94221.7,93757.3,126.19999999999708,1.4077624743014172,89.64580481705346,0.0009501621638325,84.7920039769826,93836.02467911078,93660.92138278758,175.10329632319915,0.0018559321015433,long,27,22,2,False,,0.0,3.53,94206.37815,94563.04993156092,94186.5375513293,-0.0008871421621466625,0.0016121185527182462,0.0020975559604399694,-0.0017774640453046343,0.0016121185527182462,0.0036874164660792045,-0.005766954007455294,0.003524190787500305,0.007018704178895313,-0.0015464043184850345,0.003524190787500305,0.007018704178895313,2.11981400764237e-06,0.003524190787500305,0.007018704178895313,3.7090413843520764,7.386848735993787,False,True,16.0,29.0,1-2
OkxAdaptiveMhfStrategy-20250101224700-000023,2025-01-01T22:48:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,94184.6,94184.4,94166.7,93685.7,17.69999999999709,0.1764203867343457,100.32854097893912,0.0010652352298144,59.32609798571509,94008.59288468958,93797.5667341904,211.0261504991795,0.0022405637292288,long,36,22,2,False,,0.0,3.53,94043.3234,94425.38849834946,94004.00862623792,-0.0007612709508774432,0.0013983177716951293,0.0007761353766964643,0.0003758576242824642,0.0013983177716951293,0.0008982360173532171,-0.0013218721531970193,0.0013983177716951293,0.002889007332408969,0.0023018625125550076,0.0029983670366492414,0.002889007332408969,-0.00172639688441641,0.005241833590629435,0.002889007332408969,4.920833046935609,2.7120896740352762,False,True,70.0,26.0,0-0.25
OkxAdaptiveMhfStrategy-20250101234700-000027,2025-01-01T23:48:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,94380.7,94383.2,94375.3,94000.0,7.899999999994179,0.105747885221601,74.70598568887928,0.0007915178303859,72.24685132170514,94159.83391448004,93944.29297673736,215.54093774265493,0.0022836790630393,long,48,23,2,False,,0.0,3.53,94239.1252,94559.99436565331,94246.22922576002,-0.00015045448910632248,0.00024369389080606524,0.001679368769250493,-0.0002564083546741769,0.00315318703929941,0.002413629057635755,-0.002118017772701349,0.00315318703929941,0.002413629057635755,-0.003800565157918908,0.00315318703929941,0.003880030557094799,-0.0047138874791137824,0.00315318703929941,0.006859453256862835,3.9836165369585173,8.665972264875236,False,True,10.0,90.0,0-0.25
