policy_name,month,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_1d_donchian_20_10_atr4,2023-02,4,3,1,3,-0.20725999999999986,-0.21038816999999985,0.00260817,0.0005200000000000001,0.0031281699999999857,0.0,0.0,,-0.05259704249999996,-0.05259704249999996,-0.03131193499999999,0.2103881700004422,0.0042077634000088435,-0.9999999999978975,-2.0199807171129587,22320.0,26640.0,0.039592625383832215,-0.008329820000000002,-0.1394344799999999,0.6627486707071029,5.21634,3
v3_1d_donchian_20_10_atr4,2023-03,5,2,3,3,-1.0273700000000001,-1.033861985,0.006291985000000002,0.0002,0.006491984999999811,0.0,0.0,,-0.206772397,-0.206772397,-0.2470156400000001,1.0338619849999304,0.020677239699998608,-1.0000000000000673,-2.7536793476238173,11232.0,5760.0,0.009195327943119986,-0.009506699999999995,-0.409292645,0.6348122810609,12.58397,3
v3_1d_donchian_20_10_atr4,2023-04,1,1,0,1,-0.0019900000000000074,-0.0021048650000000074,7.486500000000001e-05,4e-05,0.00011486500000000002,0.0,0.0,,-0.0021048650000000074,-0.0021048650000000074,-0.0021048650000000074,0.002104864999637357,4.209729999274714e-05,-1.0000000001722915,,43200.0,43200.0,1.0,-0.0021048650000000074,-0.0021048650000000074,1.0,0.14973,1
v3_1d_donchian_20_10_atr4,2023-05,1,1,0,1,0.024330000000000154,0.022509735000000156,0.001780265,4e-05,0.001820264999999998,1.0,,0.022509735000000156,,0.022509735000000156,0.022509735000000156,0.0,0.0,,,102240.0,102240.0,1.0,0.022509735000000156,0.022509735000000156,1.0,3.56053,1
v3_1d_donchian_20_10_atr4,2023-06,5,2,3,4,-0.06639999999999979,-0.07216894999999982,0.0048489499999999994,0.00092,0.005768950000000023,0.4,0.6522238097877033,0.06767327500000003,-0.0691718333333333,-0.014433789999999964,-0.021648205000000004,0.2075155000002269,0.004150205143652213,-0.34777619021191625,-0.39416835078413825,44352.0,15840.0,-1.7504302057879515,0.12632671000000006,-0.11271334999999988,0.9333574442791486,9.697899999999999,3
v3_1d_donchian_20_10_atr4,2023-08,4,3,1,3,-0.17800999999999992,-0.18449074499999993,0.005960745,0.0005200000000000001,0.00648074500000001,0.5,0.228107965289893,0.027260165,-0.11950553749999997,-0.04612268624999998,-0.023260994999999996,0.2390110749993255,0.004780218077565477,-0.7718920347122851,-1.0266061088481013,54720.0,59760.0,-0.27611441972333095,0.050940555,-0.18890930999999994,1.0,11.92149,3
v3_1d_donchian_20_10_atr4,2023-09,2,0,2,2,-0.10925999999999994,-0.11102540999999992,0.00168541,8e-05,0.0017654099999999812,0.5,0.0062863067206257615,0.0007023549999999952,-0.11172776499999992,-0.05551270499999996,-0.05551270499999996,0.11172776500006876,0.002234554986111202,-0.993713693278762,-1.396544276480657,36720.0,36720.0,-0.00632607436441798,0.0007023549999999952,-0.11172776499999992,1.0,3.3708199999999997,2
v3_1d_donchian_20_10_atr4,2023-10,5,2,3,3,-0.3429500000000001,-0.35011114500000007,0.004281145,0.00288,0.00716114499999998,0.0,0.0,,-0.07002222900000002,-0.07002222900000002,-0.05661499999999995,0.3501111449995733,0.007002222899991466,-1.000000000001219,-3.885698537044009,19296.0,15840.0,0.05341595166871936,-0.01870152,-0.13733885500000007,0.6446190537579147,8.56229,2
v3_1d_donchian_20_10_atr4,2023-12,1,1,0,1,0.2495,0.24673325,0.00076675,0.002,0.0027667500000000123,1.0,,0.24673325,,0.24673325,0.24673325,0.0,0.0,,,80640.0,80640.0,1.0,0.24673325,0.24673325,1.0,1.5334999999999999,1
v3_1d_donchian_20_10_atr4,2024-01,4,3,1,3,0.6786100000000004,0.6694463750000004,0.008643625,0.0005200000000000001,0.009163625000000009,0.75,2.5841871285240634,0.36400891333333346,-0.4225803649999999,0.1673615937500001,0.04578849499999998,0.4225803649997033,0.008449761826821762,1.584187128525175,0.6462070245872477,84960.0,87840.0,1.4944434496340349,1.0004497500000002,-0.4225803649999999,0.8632048907576803,17.28725,3
